A = 12D_CPEB4_D4, rgA = 57.578 ; B = CPEB4_D4, rgB = 55.378 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 1.420 0.252 0.229 69.208 67.788 
0.600 70.000 1.622 0.267 0.247 68.513 66.891 
0.600 60.000 1.981 0.271 0.254 67.322 65.341 
0.600 50.000 2.586 0.232 0.219 65.103 62.517 
0.600 40.000 3.384 0.099 0.096 60.732 57.348 
0.625 80.000 1.527 0.358 0.332 67.743 66.216 
0.625 70.000 1.753 0.378 0.355 66.967 65.214 
0.625 60.000 2.138 0.377 0.359 65.653 63.515 
0.625 50.000 2.757 0.307 0.291 63.255 60.498 
0.625 40.000 3.550 0.114 0.111 58.753 55.203 
0.650 80.000 1.640 0.493 0.465 66.117 64.477 
0.650 70.000 1.886 0.517 0.494 65.247 63.361 
0.650 60.000 2.290 0.503 0.486 63.796 61.506 
0.650 50.000 2.904 0.383 0.366 61.212 58.308 
0.650 40.000 3.632 0.122 0.118 56.592 52.960 
0.675 80.000 1.763 0.650 0.625 64.310 62.548 
0.675 70.000 2.025 0.673 0.655 63.335 61.309 
0.675 60.000 2.439 0.634 0.621 61.736 59.297 
0.675 50.000 3.025 0.446 0.427 58.971 55.946 
0.675 40.000 3.615 0.117 0.115 54.264 50.649 
0.700 80.000 1.899 0.811 0.795 62.301 60.402 
0.700 70.000 2.173 0.825 0.816 61.211 59.038 
0.700 60.000 2.584 0.744 0.734 59.462 56.879 
0.700 50.000 3.109 0.474 0.452 56.541 53.432 
0.700 40.000 3.505 0.096 0.100 51.817 48.311
0.725 80.000 2.048 0.944 0.939 60.064 58.017 
0.725 70.000 2.327 0.934 0.931 58.858 56.532 
0.725 60.000 2.713 0.795 0.782 56.972 54.259 
0.725 50.000 3.137 0.448 0.422 53.944 50.806 
0.725 40.000 3.348 0.066 0.077 49.347 45.998 
0.750 80.000 2.204 1.000 1.000 57.581 55.377 
0.750 70.000 2.473 0.951 0.946 56.268 53.795 
0.750 60.000 2.808 0.751 0.727 54.276 51.469 
0.750 50.000 3.100 0.365 0.339 51.228 48.128
0.750 40.000 3.204 0.037 0.052 46.974 43.771
