A = 12D_CPEB4_D4, rgA = 32.238 ; B = CPEB4_D4, rgB = 31.089 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 2.155 0.129 0.120 40.503 38.347 
0.900 70.000 2.158 0.159 0.150 39.616 37.458 
0.900 60.000 2.055 0.174 0.163 38.462 36.407 
0.900 50.000 1.777 0.140 0.127 36.927 35.150 
0.900 40.000 1.154 0.049 0.046 34.883 33.729 
0.925 80.000 1.919 0.302 0.293 38.128 36.210 
0.925 70.000 1.869 0.345 0.337 37.357 35.488 
0.925 60.000 1.751 0.341 0.333 36.369 34.618 
0.925 50.000 1.517 0.238 0.232 35.084 33.566 
0.925 40.000 1.081 0.069 0.073 33.469 32.388 
0.950 80.000 1.653 0.580 0.576 35.903 34.251 
0.950 70.000 1.602 0.615 0.614 35.273 33.671 
0.950 60.000 1.505 0.550 0.551 34.470 32.965 
0.950 50.000 1.325 0.335 0.341 33.438 32.113 
0.950 40.000 1.051 0.084 0.095 32.193 31.142 
0.975 80.000 1.388 0.871 0.871 33.928 32.540 
0.975 70.000 1.357 0.864 0.867 33.435 32.078 
0.975 60.000 1.289 0.705 0.711 32.806 31.516 
0.975 50.000 1.164 0.379 0.394 32.000 30.836 
0.975 40.000 1.021 0.084 0.096 31.054 30.034 
1.000 80.000 1.149 0.999 1.000 32.238 31.089 
1.000 70.000 1.138 0.935 0.935 31.862 30.724 
1.000 60.000 1.097 0.705 0.710 31.377 30.280 
1.000 50.000 1.018 0.342 0.357 30.758 29.740 
1.000 40.000 0.967 0.068 0.076 30.050 29.083 
1.025 80.000 0.955 0.874 0.873 30.824 29.869 
1.025 70.000 0.954 0.779 0.776 30.537 29.582 
